ts,reconstruction_error,anomaly
2023-03-09 23:57:30,0.74930376,0
2023-03-09 23:57:31,0.7596696,0
2023-03-09 23:57:32,0.69666266,0
2023-03-09 23:57:33,0.69077593,0
2023-03-09 23:57:34,0.69118655,0
2023-03-09 23:57:35,0.67381036,0
2023-03-09 23:57:36,0.5500456,0
2023-03-09 23:57:37,0.54712576,0
2023-03-09 23:57:38,0.562215,0
2023-03-09 23:57:39,0.56793845,0
2023-03-09 23:57:40,0.5665995,0
2023-03-09 23:57:41,0.552282,0
2023-03-09 23:57:42,0.5533487,0
2023-03-09 23:57:43,0.5582465,0
2023-03-09 23:57:44,0.55422723,0
2023-03-09 23:57:45,0.5505076,0
2023-03-09 23:57:46,0.5452315,0
2023-03-09 23:57:47,0.54623085,0
2023-03-09 23:57:48,0.54846084,0
2023-03-09 23:57:49,0.5448664,0
2023-03-09 23:57:50,0.55574965,0
2023-03-09 23:57:51,0.53216404,0
2023-03-09 23:57:52,0.54134345,0
2023-03-09 23:57:53,0.53098845,0
2023-03-09 23:57:54,0.5424764,0
2023-03-09 23:57:55,0.527048,0
2023-03-09 23:57:56,0.53337455,0
2023-03-09 23:57:57,0.5296602,0
2023-03-09 23:57:58,0.532059,0
2023-03-09 23:57:59,0.52309126,0
2023-03-09 23:58:00,0.5364545,0
2023-03-09 23:58:01,0.52867687,0
2023-03-09 23:58:02,0.5078735,0
2023-03-09 23:58:03,0.5294803,0
2023-03-09 23:58:04,0.52443117,0
2023-03-09 23:58:05,0.53068966,0
2023-03-09 23:58:06,0.52167165,0
2023-03-09 23:58:07,0.49820545,0
2023-03-09 23:58:08,0.5054177,0
2023-03-09 23:58:09,0.49607456,0
2023-03-09 23:58:10,0.60851896,0
2023-03-09 23:58:11,0.6510743,0
2023-03-09 23:58:12,0.64873505,0
2023-03-09 23:58:13,0.6710031,0
2023-03-09 23:58:14,0.6389199,0
2023-03-09 23:58:15,0.65685326,0
2023-03-09 23:58:16,0.63464224,0
2023-03-09 23:58:17,0.6658067,0
2023-03-09 23:58:18,0.71036774,0
2023-03-09 23:58:19,0.6805695,0
2023-03-09 23:58:20,0.6421983,0
2023-03-09 23:58:21,0.6322623,0
2023-03-09 23:58:22,0.59805006,0
2023-03-09 23:58:23,0.5413075,0
2023-03-09 23:58:24,0.541469,0
2023-03-09 23:58:25,0.50219816,0
2023-03-09 23:58:26,0.46854764,0
2023-03-09 23:58:27,0.4680385,0
2023-03-09 23:58:28,0.46221828,0
2023-03-09 23:58:29,0.47393534,0
2023-03-09 23:58:30,0.46431124,0
2023-03-09 23:58:31,0.4755538,0
2023-03-09 23:58:32,0.47041416,0
2023-03-09 23:58:33,0.4718382,0
2023-03-09 23:58:34,0.46841225,0
2023-03-09 23:58:35,0.46214187,0
2023-03-09 23:58:36,0.45486215,0
2023-03-09 23:58:37,0.45993835,0
2023-03-09 23:58:38,0.45927635,0
2023-03-09 23:58:39,0.46492353,0
2023-03-09 23:58:40,0.4329004,0
2023-03-09 23:58:41,0.44359106,0
2023-03-09 23:58:42,0.451907,0
2023-03-09 23:58:43,0.44415665,0
2023-03-09 23:58:44,0.4491059,0
2023-03-09 23:58:45,0.43466833,0
2023-03-09 23:58:46,0.43666092,0
2023-03-09 23:58:47,0.441402,0
2023-03-09 23:58:48,0.43795994,0
2023-03-09 23:58:49,0.43652675,0
2023-03-09 23:58:50,0.43151924,0
2023-03-09 23:58:51,0.4389211,0
2023-03-09 23:58:52,0.42649385,0
2023-03-09 23:58:53,0.44205567,0
2023-03-09 23:58:54,0.44322237,0
2023-03-09 23:58:55,0.44174397,0
2023-03-09 23:58:56,0.47660452,0
2023-03-09 23:58:57,0.45939443,0
2023-03-09 23:58:58,0.4904005,0
2023-03-09 23:58:59,0.47239244,0
2023-03-09 23:59:00,0.4911887,0
2023-03-09 23:59:01,0.6774671,0
2023-03-09 23:59:02,0.640843,0
2023-03-09 23:59:03,0.6639271,0
2023-03-09 23:59:04,0.66431946,0
2023-03-09 23:59:05,0.66675353,0
2023-03-09 23:59:06,0.4926456,0
2023-03-09 23:59:07,0.4743919,0
2023-03-09 23:59:08,0.47244743,0
2023-03-09 23:59:09,0.45889023,0
2023-03-09 23:59:10,0.45272478,0
2023-03-09 23:59:11,0.44536793,0
2023-03-09 23:59:12,0.43527052,0
2023-03-09 23:59:13,0.44354373,0
2023-03-09 23:59:14,0.44262627,0
2023-03-09 23:59:15,0.44517615,0
2023-03-09 23:59:16,0.42238986,0
2023-03-09 23:59:17,0.4072449,0
2023-03-09 23:59:18,0.40702003,0
2023-03-09 23:59:19,0.43062565,0
2023-03-09 23:59:20,0.42305946,0
2023-03-09 23:59:21,0.42557085,0
2023-03-09 23:59:22,0.42959017,0
2023-03-09 23:59:23,0.4085765,0
2023-03-09 23:59:24,0.41592795,0
2023-03-09 23:59:25,0.42054972,0
2023-03-09 23:59:26,0.4218442,0
2023-03-09 23:59:27,0.4331419,0
2023-03-09 23:59:28,0.44232926,0
2023-03-09 23:59:29,0.4579647,0
2023-03-09 23:59:30,0.46168745,0
2023-03-09 23:59:31,0.46435195,0
2023-03-09 23:59:32,0.47356364,0
2023-03-09 23:59:33,0.46350396,0
2023-03-09 23:59:34,0.47789484,0
